property_type,condition,location_district,location_area,gen_count,gen_avg_price,area_count,dis_avg_price,price_diff
house,"fully renovated","okres Martin",Jahodníky,198,1549.545062,5,2515.003333,62.3059176965
house,"new construction","okres Liptovský Mikuláš",Smrečany,340,2114.287185,1,3688.000000,74.4323110959
house,"new construction","okres Martin",Necpaly,340,2114.287185,3,986.395000,-53.3462148852
house,"fully renovated","okres Turčianske Teplice",Diviaky,198,1549.545062,2,799.500000,-48.4042110419
house,"new construction","okres Liptovský Mikuláš","Liptovské Kľačany",340,2114.287185,3,2156.030000,1.9743209577
house,unrenovated,"okres Liptovský Mikuláš",Hybe,364,1025.187980,3,349.790000,-65.8804037090
house,unrenovated,"okres Turčianske Teplice","Horná Štubňa",364,1025.187980,4,667.917500,-34.8492654001
house,"fully renovated","okres Žilina",Strečno,198,1549.545062,1,NULL,NULL
house,"new construction","okres Žilina",Lietava,340,2114.287185,2,1952.680000,-7.6435777574
house,"fully renovated","okres Liptovský Mikuláš","Liptovská Ondrašová",198,1549.545062,1,2552.380000,64.7180235408
house,unrenovated,"okres Žilina",Hôrky,364,1025.187980,3,218.370000,-78.6995161609
house,unrenovated,"okres Žilina",Stránske,364,1025.187980,2,714.530000,-30.3025382721
house,"partially renovated","okres Kysucké Nové Mesto","Kysucký Lieskovec",331,1370.453684,6,1066.961667,-22.1453683947
house,unrenovated,"okres Žilina",Terchová,364,1025.187980,5,931.457500,-9.1427603355
house,"new construction","okres Čadca",Čadečka,340,2114.287185,1,1204.550000,-43.0280801707
house,"fully renovated","okres Dolný Kubín",Zázrivá,198,1549.545062,1,639.670000,-58.7188513786
house,"fully renovated","okres Dolný Kubín","Oravský Podzámok",198,1549.545062,1,NULL,NULL
house,unrenovated,"okres Liptovský Mikuláš","Závažná Poruba",364,1025.187980,3,931.875000,-9.1020360968
house,unrenovated,"okres Kysucké Nové Mesto",Povina,364,1025.187980,4,1100.697500,7.3654316548
house,unrenovated,"okres Turčianske Teplice",Háj,364,1025.187980,1,227.270000,-77.8313826894
house,"fully renovated","okres Martin",Stráne,198,1549.545062,3,991.033333,-36.0435938713
house,"partially renovated","okres Liptovský Mikuláš",Ľubeľa,331,1370.453684,2,1430.000000,4.3450075472
house,"partially renovated","okres Žilina","Staré mesto",331,1370.453684,3,2055.085000,49.9565453392
house,unrenovated,"okres Martin",Podhradie,364,1025.187980,1,620.000000,-39.5232862562
house,"fully renovated","okres Ružomberok","Staré mesto",198,1549.545062,2,2369.570000,52.9203672813
house,"new construction","okres Dolný Kubín",Brezovec,340,2114.287185,4,1807.720000,-14.4997892044
house,"partially renovated","okres Čadca",Centrum,331,1370.453684,1,1740.480000,27.0002788361
house,"new construction","okres Turčianske Teplice",Dubové,340,2114.287185,1,1680.410000,-20.5212039347
house,"partially renovated","okres Martin",NULL,331,1370.453684,2,1329.170000,-3.0124100130
house,"partially renovated","okres Čadca",Závodie,331,1370.453684,1,795.000000,-41.9900132867
house,"under construction","okres Liptovský Mikuláš",Dúbrava,51,1843.917727,1,2098.950000,13.8310006605
house,"partially renovated","okres Martin",Ležiachov,331,1370.453684,1,NULL,NULL
house,unrenovated,"okres Žilina",Varín,364,1025.187980,2,1294.335000,26.2534311025
house,"fully renovated","okres Liptovský Mikuláš","Liptovská Porúbka",198,1549.545062,2,1564.890000,0.9902866574
house,"partially renovated","okres Čadca",Raková,331,1370.453684,5,1168.886667,-14.7080502868
house,"new construction","okres Martin",Žabokreky,340,2114.287185,1,3790.700000,79.2897401495
house,"new construction","okres Liptovský Mikuláš","Svätý Kríž",340,2114.287185,2,3127.450000,47.9198295382
house,"fully renovated","okres Turčianske Teplice","Horná Štubňa",198,1549.545062,6,1337.446000,-13.6878279439
house,"new construction","okres Kysucké Nové Mesto",Rudinská,340,2114.287185,1,2526.310000,19.4875520186
house,"new construction","okres Liptovský Mikuláš",Ižipovce,340,2114.287185,5,1150.286000,-45.5946189259
house,"partially renovated","okres Ružomberok","Liptovská Teplá",331,1370.453684,1,NULL,NULL
house,"partially renovated","okres Čadca",Korňa,331,1370.453684,1,607.690000,-55.6577499047
house,"fully renovated","okres Ružomberok",Ivachnová,198,1549.545062,1,NULL,NULL
house,"new construction","okres Žilina","Rajecké Teplice",340,2114.287185,6,2118.518000,0.2001059757
house,"partially renovated","okres Turčianske Teplice","Malý Čepčín",331,1370.453684,2,1562.565000,14.0180816209
house,"partially renovated","okres Žilina","Lietavská Svinná-Babkov",331,1370.453684,2,821.740000,-40.0388346141
house,"partially renovated","okres Bytča",Jablonové,331,1370.453684,1,NULL,NULL
house,unrenovated,"okres Žilina",Závodie,364,1025.187980,7,1369.004000,33.5368758420
house,"new construction","okres Žilina",Rosina,340,2114.287185,4,2859.782500,35.2598890202
house,"fully renovated","okres Martin",Bystrička,198,1549.545062,4,1510.930000,-2.4920257530
house,"partially renovated","okres Čadca","Dlhá nad Kysucou",331,1370.453684,1,1055.560000,-22.9773313521
house,unrenovated,"okres Čadca",Svrčinovec,364,1025.187980,7,579.361667,-43.4872746947
house,"fully renovated","okres Martin",Turany,198,1549.545062,1,1.560000,-99.8993252898
house,"under construction","okres Liptovský Mikuláš",Prosiek,51,1843.917727,3,3061.540000,66.0345228624
house,"under construction","okres Turčianske Teplice",Abramová,51,1843.917727,1,592.110000,-67.8884805255
house,"partially renovated","okres Žilina",Budatín,331,1370.453684,5,1230.357500,-10.2226135502
house,"partially renovated","okres Bytča",Kolárovice,331,1370.453684,3,1102.220000,-19.5726194275
house,unrenovated,"okres Bytča","Veľké Rovné",364,1025.187980,4,813.630000,-20.6360183817
house,"partially renovated","okres Bytča","Hliník nad Váhom",331,1370.453684,4,1138.256667,-16.9430765673
